	gram_1	Freq
1451	heaven	3
1452	delbecq	3
1453	bandura	17
1454	mark	47
1455	synchronize	9
1456	principalship	54
1457	conceal	6
1458	interesting	213
1459	termination	12
1460	effort	767
1461	todays	43
1462	biweekly	4
1463	caucasian	36
1464	detached	3
1465	harass	4
1466	redress	5
1467	posner	13
1468	ulysses	4
1469	homogenization	4
1470	epistemic	17
1471	shell	3
1472	yoder	3
1473	regeneration	27
1474	direct	705
1475	gronn	6
1476	scarcity	5
1477	synchronicity	11
1478	vacuum	17
1479	erode	10
1480	rough	5
1481	eagleson	6
1482	intrinsic	196
1483	gain	327
1484	second##level	5
1485	solidarity	21
1486	promotional	5
1487	nelson	6
1488	commentary	11
1489	industriousness	3
1490	contemplation	3
1491	self##perceive	6
1492	learn_leadership_model	7
1493	permit	64
1494	pride	26
1495	drop	19
1496	fun	9
1497	bounce	4
1498	briggs	12
1499	self##awareness	83
1500	lecture	8
1501	addition	571
1502	sharon	7
1503	fulfillment	71
1504	harbor	7
1505	manns	18
1506	testing	207
1507	lazerus	3
1508	phenomenon	208
1509	annual	21
1510	revelation	3
1511	non##interaction	3
1512	construct	1163
1513	arous	12
1514	trustful	4
1515	feedback	493
1516	people##oriented	14
1517	s3	10
1518	destruction	10
1519	business	578
1520	myers	15
1521	favorability##leader	17
1522	intergroup	78
1523	omnipotent	8
1524	spector	4
1525	composition	70
1526	designation	4
1527	self##organize	19
1528	exacerbate	17
1529	discrete	58
1530	descriptive	85
1531	reappear	3
1532	certainty	31
1533	undertake	75
1534	dedicated	18
1535	explanation##charismatic_leadership_theory	4
1536	creact	4
1537	erroneous	11
1538	flammable	5
1539	identifiable	21
1540	herold	5
1541	catastrophic	3
1542	swift	4
1543	token	13
1544	interdependent	84
1545	roe	4
1546	excellence	37
1547	opinion	162
1548	overarch	12
1549	emergent	158
1550	hardship	6
1551	formality	4
1552	scientist	52
1553	arousing	13
1554	stereotypical	18
1555	operative	6
1556	way	598
1557	micro##level	13
1558	fluctuation	9
1559	pessimism	7
1560	other##direct	3
1561	maintain	384
1562	look	44
1563	tangible	66
1564	discipline	83
1565	sociability	15
1566	leaner	4
1567	reciprocate	41
1568	low##anxiety	4
1569	fixate	6
1570	atmosphere	49
1571	rationalization	3
1572	courtesy	11
1573	entrainment	4
1574	academic	149
1575	divisiveness	3
1576	higgins	16
1577	community	263
1578	lump	3
1579	percentile	6
1580	operator	9
1581	popularize	4
1582	complaint	17
1583	ambition	12
1584	non##traditional	23
1585	means	3
1586	third	279
1587	struggle	132
1588	self##directedness	57
1589	reaction	242
1590	self##interest	177
1591	regulate	44
1592	eventual	6
1593	inflation	9
1594	spiritual_theory_leadership	89
1595	prevent	88
1596	sportsmanship	10
1597	individual##level	139
1598	follower##level	27
1599	inhibitory	4
1600	prioritise	4
1601	transforming	3
1602	casual	3
1603	recycling	5
1604	pension	5
1605	christian	3
1606	rat	3
1607	transparent	20
1608	job_satisfaction	6
1609	poisson	4
1610	split	23
1611	tip	5
1612	basss	49
1613	move	129
1614	component	604
1615	introductory	4
1616	formulate	70
1617	emotional	659
1618	accumulate	46
1619	vigor	3
1620	fascinating	8
1621	summer	8
1622	unpublish	15
1623	executive	225
1624	guy	4
1625	gender##stereotype	27
1626	bothand	3
1627	interpersonal	530
1628	search	138
